display_name,short_name,level,hex_color,r_color,g_color,b_color
Metallic,metallic,1,000000,0,0,0
Silver,silver,1,cccccc,204,204,204
Orange,orange,1,f97306,249,115,6
Beige,beige,1,F5F5DC,245,245,220
Black,black,1,000000,0,0,0
Yellow,yellow,1,ffe700,255,231,0
Multicolor,multicolor,1,000000,0,0,0
Copper,copper,1,b87333,184,115,51
Red,red,1,e50000,229,0,0
Purple,purple,1,800080,128,0,128
Gold,gold,1,D4AF37,212,175,55
Pink,pink,1,ff81c0,255,129,192
Brown,brown,1,663300,102,51,0
White,white,1,FFFFFF,255,255,255
Turquoise,turquoise,1,06C2AC,6,194,172
Blue,blue,1,285EFF,40,94,255
Gray,gray,1,959595,149,149,149
Green,green,1,00A550,0,165,80
Light Gray,light-gray,2,D8D8D8,216,216,216
Gray,gray,2,959595,149,149,149
Dark Gray,dark-gray,2,606060,96,96,96
White,white,2,FFFFFF,255,255,255
Black,black,2,000000,0,0,0
Beige,beige,2,F5F5DC,245,245,220
Dark Red,dark-red,2,840000,132,0,0
Light Orange,light-orange,2,FFB07C,255,176,124
Green,green,2,00A500,0,165,0
Dark Green,dark-green,2,005216,0,82,22
Light Turquoise,light-turquoise,2,90F4DA,144,244,218
Turquoise,turquoise,2,06c2ac,6,194,172
Dark Turquoise,dark-turquoise,2,045C5A,4,92,90
Light Blue,light-blue,2,81c1fd,129,193,253
Blue,blue,2,285EFF,40,94,255
Silver,silver,2,cccccc,204,204,204
Metallic Purple,metallic-purple,2,800080,128,0,128
Metallic Pink,metallic-pink,2,FF81C0,255,129,192
Metallic Red,metallic-red,2,E50000,229,0,0
Metallic Orange,metallic-orange,2,F97306,249,115,6
Metallic Green,metallic-green,2,00A550,0,165,80
Metallic Turquoise,metallic-turquoise,2,06C2AC,6,194,172
Metallic Blue,metallic-blue,2,285EFF,40,94,255
Metallic Brown,metallic-brown,2,663300,102,51,0
Metallic White,metallic-white,2,FFFFFF,255,255,255
Metallic Black,metallic-black,2,000000,0,0,0
Gold,gold,2,D4AF37,212,175,55
Dark Blue,dark-blue,2,000080,0,0,128
Copper,copper,2,b87333,184,115,51
Orange,orange,2,f97306,249,115,6
Dark Orange,dark-orange,2,c65102,198,81,2
Light Yellow,light-yellow,2,FEFEB7,254,254,183
Yellow,yellow,2,ffe700,255,231,0
Dark Yellow,dark-yellow,2,C99B10,201,155,16
Light Green,light-green,2,90ee90,144,238,144
Light Red,light-red,2,F4757B,244,117,123
Red,red,2,e50000,229,0,0
Light Purple,light-purple,2,F6CEFC,246,206,252
Purple,purple,2,800080,128,0,128
Dark Purple,dark-purple,2,5a005a,90,0,90
Light Pink,light-pink,2,ffcfdc,255,207,220
Pink,pink,2,ff81c0,255,129,192
Dark Pink,dark-pink,2,cc035c,204,3,92
Light Brown,light-brown,2,ad8150,173,129,80
Brown,brown,2,653700,101,55,0
Dark Brown,dark-brown,2,4C2801,76,40,1
Orange,orange,3,f97306,249,115,6
Amber,amber,3,FFB33A,255,179,58
Red Orange,red-orange,3,FF5800,255,88,0
Tangerine,tangerine,3,F28000,242,128,0
Dark Orange,dark-orange,3,c65102,198,81,2
Ochre,ochre,3,C68211,198,130,17
Rust,rust,3,A83C09,168,60,9
Cream,cream,3,FFFFD4,255,255,212
Light Tan,light-tan,3,FBEEAC,251,238,172
Light Yellow,light-yellow,3,FEFEB7,254,254,183
Light Khaki,light-khaki,3,E6E884,230,232,132
Blond,blond,3,F3F4B7,243,244,183
Lemon,lemon,3,FDFF52,253,255,82
Mustard,mustard,3,FFDB58,255,219,88
Chartreuse,chartreuse,3,FFFF00,255,255,0
Golden Yellow,golden-yellow,3,FFD800,255,216,0
Citrine,citrine,3,D1C710,209,199,16
Titanium Yellow,titanium-yellow,3,EDE211,237,226,17
Neon Carrot,neon-carrot,3,ECA543,236,165,67
Goldenrod,goldenrod,3,FAC205,250,194,5
Dark Yellow,dark-yellow,3,C99B10,201,155,16
Golden Palm,golden-palm,3,997707,153,119,7
